"STATUS_BEGIN","Start"
"Advanced quote","Prijs aanvraag"
"Configuration","Configuratie"
"General","Algemeen"
"Expiration time for quote request","Verloop tijd voor offerte aanvraag"
"Expiration time for quote proposal","Verloop tijd voor offerte voorstel"
"Default Reminder Notice", "Verloop tijd voor herinnerings bericht"
"Set standard (fixed) remark with proposal","Standaard (vaste) opmerking bij offerte"
"Add remark that appears in new proposal email and in the quote proposal PDF","Voeg opmerking toe die verschijnt in de nieuwe offerte email en offerte PDF"
"Quote number format","Offerte nummer format"
"Default Quote Prefix","Standaard offerte voorvoegsel"
"Default Starting Number","Standaard start nummer"
"Default Increment","Standaard toename"
"Number Length","Nummer lengte"
"Desired number length without the prefix and the date. Set to 0 to not add leading zeros to doc number.","Gewenste nummer lengte zonder voorvoegsel en datum. Zet op 0 om geen nullen vooraan het document nummer te krijgen."
"Emails for quotes","Emails voor offertes"
"Enabled","Ingeschakeld"
"Email sender","Email verzender"
"New account Template","Nieuwe account template"
"Select email to be send","Selecteer de te verzenden email template"
"New request Template","Nieuwe aanvraag template"
"New proposal Template","Nieuwe offerte template"
"Enable disable quote relates emails","Schakel offerte gerelateerde emails in / uit"
"Select email to be send","Selecteer te verzenden email"
"Separate by","Scheiden door"
"Request cancelled Template","Aanvraag geannuleerde template"
"Attach PDF file with proposal","Voeg PDF bestand bij offerte"
"Send Quote email copy to","Stuur een kopie van de offerte email naar"
"Default password for new user account","Standaard wachtwoord voor nieuw gebruikers account"
"Password for new account created during quote request","Wachtwoord voor nieuwe account tijdens offerte aanvraag"
"Advanced quote request","Offerte aanvraag"
"Advanced quote proposal","Offerte voorstel"
"Advanced quote cancel","Annuleer offerte"
"Advanced quote new account","Nieuwe account voor offerte"
"Email was sent to client","Email is verstuurd naar klant"
"Submit Quote","Verstuur offerte"
"Use Store settings","Gebruik winkel instellingen"
"Per Item","Per item"
"Fixed price per Order","Vaste prijs per bestelling"
"Cart2Quote","Cart2Quote"
"Request for Quote","Offerte aanvraag"
"ref #","ref #"
"Original Price","Originele prijs"
"Proposal valid until","Offerte geldig tot"
"Art. nr.","Art. nr."
"Product name","Productnaam"
"ship to:","Verstuur naar:"
"Shipping & Handling price per Item","Verzend- en behandelkosten per product"
"Fixed Shipping & Handling price","Vaste verzend- en behandelkosten"
"Shipping & Handling price varies","Verzend- en behandelkosten varieren"
"select required qty and check out online","Kies gewenste aantal en bestel online"
"to see applicable price**","om de juiste prijs te zien**"
"%s days","%s dagen"
"(excl. TAX)","(excl. BTW)"
"Maximum characters", "Max. aantal letters"
"The Cart2Quote template files are disabled.","De Cart2Quote template files zijn uitgeschakeld."
"For front-end visibility of this module please switch Use Cart2Quote templates to Yes or adjust your custom theme files.","Om deze module zichtbaar te maken in de front-end moet u 'Use Cart2Quote templates' op 'Ja' zetten of uw custom theme files aanpassen."
"File upload","Bestand laden"
"Title","Titel"
"File","Bestand"
"Url","Url"
"Add product short description text to PDF", "Voeg de korte product omschrijving to aan PDF"
"Enable standard document", "Standaard document inschakelen"
"Upload any file as default attachment to the proposal email (i.e. Terms and Conditions) Note some providers limit the size of emails.", "Laad een bestand als standaard bijlage bij de offerte email (bijv. algemene voorwaarden). Let op: sommige providers hanteren een max. grootte voor e-mails."
"Use Cart2Quote template files","Gebruik de Cart2Quote template files"
"If set to No, you have to manually copy the Cart2Quote template information to you own template files to enable front-end functionality.", "Indien op Nee moet u de Cart2Quote template informatie zelf kopieren naar uw eigen template files om de front-end functionaliteit in te schakelen."
"Enable PDF proposal", "PDF voorstel inschakelen"
"Customer not recognized for new quote", "Klant niet herkend voor nieuwe offerte"
"There was an error, because the customer address was  undefined", "Fout: Klant adres niet opgegeven"
"Quoation had error, because products quantity weren't defined", "Fout: geen product aantallen opgegeven"
"Create Order", "Bestelling aanmaken"
"Customer's email was undefined", "E-mail adres klant niet ingevuld"
"exclude from order", "niet bestellen" 
"To create an order or to add products, save the quotation first", "Om te bestellen of om producten toe te voegen moeten de offerte eerst opslaan"
"Use checkout url after confirmation quote proposal", "Gebruik de checkout url na bevstigen van offerte"
"Checkout onepage url", "Checkout onepage url"
"List/Grid page activation", "List/Grid pagina inschakelen"
"Detail page activation", "Detail pagina inschakelen"
"Enable / disable frontend layout update",  "Frontend layout update inschakelen / uitschakelen"
"Duplicate value entered", "Kopieer deze waarde"
"First save this Quotation", "Sla eerst deze offerte op"
"Select one Qty per product. (When editing this product you will be able to re-enter the extra tiers in this screen.)", "Selecteer een aantal per product. (Bij het wijzigen van dit product kunt u extra staffels toevoegen in dit scherm.)"
"You cannot delete this Qty", "Dit aantal kan niet worden verwijderd"
"Create this customer first via the Manage Customers section", "Maak eerst een nieuwe klant aan via de Beheer klanten sectie"
"Add", "Toevoegen"
"Add new Qty", "Nieuw aantal toevoegen"
"Minimum of one Qty is required", "Tenminste een aantal is verplicht"
"Total price", "Total prijs"
"Disable account check","account controle uitschakelen"
"New quotes can be submitted by existing accounts without having to login first", "Nieuwe offertes kunnen door bestaande klanten worden aangevraagd zonder eerst in te loggen"
"Follow Up", "Follow Up"
"Set Follow Up date", "Wijzig follow up datum"
"Follow Up Date", "Follow up datum"
"Follow up", "Follow up"
"Reset Follow up". "Reset Follow up"
"SUBSTATUS_REJECTED_SUB100", "- Stuur klant nieuwe offerte"
"SUBSTATUS_CANCELLED_SUB100", "- Niet op voorraad"
"SUBSTATUS_PROPOSAL_SUB100", "- Voorstel gemaakt door verkoper"
"SUBSTATUS_PROPOSAL_SUB200", "- Verkoper neemt contact op met klant"
"SUBSTATUS_PROPOSAL_SUB300", "- In afwachting van betaling"
"SUBSTATUS_SAVED_SUB100", "- Voorstel in de wacht"
"SUBSTATUS_SAVED_SUB200", "- Wachten op leverancier"
